Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
1,ESM2G Precipitation Flux,GFDL,ESM2G,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,GFDL_ESM2G,199612,200511
2,ESM2G Total Cloud Fraction,GFDL,ESM2G,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,GFDL_ESM2G,199612,200511
3,ESM2G Surface Temperature,GFDL,ESM2G,Surface Temperature,ts,K,2D,Surface Temperature,GFDL_ESM2G,199612,200511
4,ESM2G Sea Surface Temperature,GFDL,ESM2G,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,GFDL_ESM2G,199612,200511
5,ESM2G Eastward Near-Surface Wind,GFDL,ESM2G,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,GFDL_ESM2G,199112,200511
6,ESM2G Northward Near-Surface Wind,GFDL,ESM2G,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,GFDL_ESM2G,199112,200511
7,ESM2G Near-Surface Wind Speed,GFDL,ESM2G,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,GFDL_ESM2G,199112,200511
8,ESM2G Sea Surface Height,GFDL,ESM2G,Sea Surface Height,zos,m,2D,Sea Surface Height,GFDL_ESM2G,199612,200511
9,ESM2G Leaf Area Index,GFDL,ESM2G,Leaf Area Index,lai,1,2D,Leaf Area Index,GFDL_ESM2G,199412,200511
10,ESM2G Surface Downwelling Longwave Radiation,GFDL,ESM2G,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,GFDL_ESM2G,199412,200511
11,ESM2G Surface Upwelling Longwave Radiation,GFDL,ESM2G,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,GFDL_ESM2G,199412,200511
12,ESM2G Surface Downwelling Clear-Sky Longwave Radiation,GFDL,ESM2G,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,GFDL_ESM2G,199412,200511
13,ESM2G TOA Incident Shortwave Radiation,GFDL,ESM2G,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,GFDL_ESM2G,199112,200511
14,ESM2G TOA Outgoing Longwave Radiation,GFDL,ESM2G,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,GFDL_ESM2G,199412,200511
15,ESM2G TOA Outgoing Shortwave Radiation,GFDL,ESM2G,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,GFDL_ESM2G,199112,200511
16,ESM2G TOA Outgoing Clear-Sky Longwave Radiation,GFDL,ESM2G,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,GFDL_ESM2G,199412,200511
