,Label,0,1,2,3,4,5,6,7,8
0,5,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
1,14,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
2,11,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
3,1,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
4,5,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
5,6,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
6,4,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
7,4,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
8,18,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
9,5,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
10,6,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
11,12,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
12,10,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
13,10,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
14,10,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
15,10,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
16,4,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
17,8,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
18,20,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
19,10,0:-1.33518139872,1:-0.509203839639,2:-0.53594973883,3:0.135977908157,4:-1.61813382782,5:-0.107155614112,6:-0.0450592885375,7:0.135977908157,8:-0.645256821937
