id,executionStartTime,model,var,userName
2953,9/1/2015 00:02,ecmwf_interim,hur,czhai
2953,9/1/2015 00:02,nasa_airs,tas,czhai
2953,9/1/2015 00:02,nasa_ceres,rlus,czhai
2954,9/1/2015 00:11,GFDL_ESM2G,hur,czhai
2955,9/1/2015 00:13,ECMWF_interim,uas,czhai
2957,9/1/2015 00:15,NASA_AMSRE,tos,czhai
2958,9/1/2015 00:15,NASA_AMSRE,tos,czhai
2959,9/1/2015 00:16,ECMWF_interim,hur,czhai
2960,9/1/2015 00:17,NCAR_CAM5,cli,czhai
2961,9/1/2015 00:21,NCAR_CAM5,cli,czhai
2962,9/1/2015 00:21,gfdl_esm2g,clt,czhai
2962,9/1/2015 00:21,gfdl_esm2g,pr,czhai
2963,9/1/2015 00:23,gfdl_esm2g,clt,czhai
2963,9/1/2015 00:23,gfdl_esm2g,pr,czhai
2964,9/1/2015 00:23,gfdl_esm2g,pr,czhai
2964,9/1/2015 00:23,ncar_cam5,pr,czhai
2965,9/1/2015 02:00,GFDL_ESM2G,pr,lei
2966,9/1/2015 09:07,GFDL_ESM2G,pr,admin
2968,9/1/2015 09:28,GFDL_ESM2G,pr,admin
2969,9/1/2015 09:28,GFDL_ESM2G,clt,admin
2970,9/1/2015 09:29,GFDL_ESM2G,ts,admin
2971,9/1/2015 09:29,GFDL_ESM2G,uas,admin
2972,9/1/2015 09:29,GFDL_ESM2G,clt,admin
2973,9/1/2015 09:29,GFDL_ESM2G,ts,admin
2974,9/1/2015 09:29,GFDL_ESM2G,ta,admin
2975,9/1/2015 10:07,gfdl_esm2g,pr,lei
2975,9/1/2015 10:07,nasa_mls,ta,lei
2976,9/1/2015 10:07,gfdl_esm2g,pr,lei
2976,9/1/2015 10:07,nasa_mls,ta,lei
2977,9/1/2015 10:07,gfdl_esm2g,pr,lei
2977,9/1/2015 10:07,nasa_mls,ta,lei
2978,9/1/2015 10:07,gfdl_esm2g,pr,lei
2978,9/1/2015 10:07,nasa_mls,ta,lei
2979,9/1/2015 10:08,gfdl_esm2g,pr,lei
2979,9/1/2015 10:08,nasa_mls,hus,lei
2980,9/1/2015 10:24,argo_argo,ot,lei
2980,9/1/2015 10:24,gfdl_esm2g,sfcWind,lei
2981,9/1/2015 10:25,argo_argo,os,lei
2981,9/1/2015 10:25,gfdl_esm2g,pr,lei
2982,9/1/2015 10:26,gfdl_cm3,pr,lei
2982,9/1/2015 10:26,gfdl_esm2g,pr,lei
2983,9/1/2015 10:26,gfdl_esm2g,pr,lei
2984,9/1/2015 10:28,gfdl_esm2g,pr,lei
2985,9/1/2015 10:34,gfdl_esm2g,pr,lei
2986,9/1/2015 10:34,gfdl_esm2g,clt,lei
2986,9/1/2015 10:34,gfdl_esm2g,pr,lei
2987,9/1/2015 10:36,gfdl_esm2g,pr,btang
2988,9/1/2015 10:36,gfdl_esm2g,pr,btang
2988,9/1/2015 10:36,gfdl_esm2g,ts,btang
2989,9/1/2015 10:41,gfdl_esm2g,clt,lei
2989,9/1/2015 10:41,gfdl_esm2g,pr,lei
2990,9/1/2015 10:43,gfdl_esm2g,clt,lei
2990,9/1/2015 10:43,nasa_mls,ta,lei
2991,9/1/2015 10:43,gfdl_esm2g,clt,lei
2991,9/1/2015 10:43,nasa_mls,ta,lei
2992,9/1/2015 10:45,gfdl_esm2g,pr,btang
2993,9/1/2015 10:45,gfdl_esm2g,pr,btang
2993,9/1/2015 10:45,nasa_mls,ta,btang
2994,9/1/2015 10:46,cccma_canam4,pr,btang
2994,9/1/2015 10:46,gfdl_esm2g,pr,btang
2995,9/1/2015 10:46,giss_e2-h,pr,btang
2995,9/1/2015 10:46,giss_e2-r,pr,btang
2996,9/1/2015 10:48,ecmwf_interim,clt,btang
2997,9/1/2015 10:49,gfdl_esm2g,clt,btang
2997,9/1/2015 10:49,gfdl_esm2g,pr,btang
2998,9/1/2015 10:51,gfdl_esm2g,clt,lei
2998,9/1/2015 10:51,gfdl_esm2g,pr,lei
2999,9/1/2015 10:54,gfdl_esm2g,clt,admin
2999,9/1/2015 10:54,gfdl_esm2g,pr,admin
3000,9/1/2015 10:55,gfdl_esm2g,pr,admin
3000,9/1/2015 10:55,giss_e2-h,pr,admin
3001,9/1/2015 10:55,gfdl_esm2g,pr,admin
3001,9/1/2015 10:55,giss_e2-h,clt,admin
3002,9/1/2015 10:57,gfdl_esm2g,ts,czhai
3002,9/1/2015 10:57,ukmo_hadgem2-es,ts,czhai
3003,9/1/2015 10:59,gfdl_esm2g,uas,czhai
3003,9/1/2015 10:59,gfdl_esm2g,vas,czhai
3004,9/1/2015 10:59,gfdl_esm2g,pr,czhai
3005,9/1/2015 11:03,gfdl_esm2g,pr,lei
3005,9/1/2015 11:03,giss_e2-r,pr,lei
3006,9/1/2015 11:04,gfdl_esm2g,ta,lei
3006,9/1/2015 11:04,nasa_mls,ta,lei
3007,9/1/2015 11:04,gfdl_esm2g,ta,lei
3007,9/1/2015 11:04,nasa_mls,ta,lei
3008,9/1/2015 11:04,gfdl_esm2g,ta,lei
3008,9/1/2015 11:04,nasa_mls,ta,lei
3009,9/1/2015 11:04,gfdl_esm2g,hur,czhai
3009,9/1/2015 11:04,gfdl_esm2g,hus,czhai
3009,9/1/2015 11:04,gfdl_esm2g,ta,czhai
3010,9/1/2015 11:05,cccma_canam4,ta,lei
3010,9/1/2015 11:05,gfdl_esm2g,ta,lei
3011,9/1/2015 11:08,gfdl_esm2g,hur,czhai
3011,9/1/2015 11:08,gfdl_esm2g,hus,czhai
3011,9/1/2015 11:08,gfdl_esm2g,ta,czhai
3012,9/1/2015 11:11,ncc_noresm,hur,czhai
3012,9/1/2015 11:11,ncc_noresm,hus,czhai
3012,9/1/2015 11:11,ncc_noresm,ta,czhai
3013,9/1/2015 11:16,ARGO_ARGO,ot,lei
3014,9/1/2015 11:16,ARGO_ARGO,ot,lei
3015,9/1/2015 11:16,NASA_MLS,ta,lei
3016,9/1/2015 11:17,NASA_MLS,hus,lei
3017,9/1/2015 11:17,GFDL_ESM2G,rlds,lei
3018,9/1/2015 11:18,gfdl_esm2g,ts,lei
3018,9/1/2015 11:18,giss_e2-h,tos,lei
3019,9/1/2015 11:18,argo_argo,ot,lei
3019,9/1/2015 11:18,giss_e2-h,tos,lei
3020,9/1/2015 11:19,argo_argo,ot,lei
3021,9/1/2015 11:20,argo_argo,ot,lei
3022,9/1/2015 11:20,ncc_noresm,hur,czhai
3022,9/1/2015 11:20,ncc_noresm,hus,czhai
3022,9/1/2015 11:20,ncc_noresm,ta,czhai
3023,9/1/2015 11:21,ncc_noresm,hur,czhai
3023,9/1/2015 11:21,ncc_noresm,hus,czhai
3023,9/1/2015 11:21,ncc_noresm,ta,czhai
3024,9/1/2015 11:22,gfdl_esm2g,clt,lei
3024,9/1/2015 11:22,gfdl_esm2g,pr,lei
3024,9/1/2015 11:22,gfdl_esm2g,ts,lei
3025,9/1/2015 11:23,gfdl_esm2g,clt,lei
3025,9/1/2015 11:23,gfdl_esm2g,tos,lei
3025,9/1/2015 11:23,gfdl_esm2g,wap,lei
3026,9/1/2015 11:25,argo_argo,ot,lei
3026,9/1/2015 11:25,gfdl_esm2g,tos,lei
3027,9/1/2015 11:27,ARGO_ARGO,ot,lei
3028,9/1/2015 11:30,ARGO_ARGO,ot,lei
3029,9/1/2015 11:31,argo_argo,ot,lei
3029,9/1/2015 11:31,gfdl_esm2g,pr,lei
3030,9/1/2015 11:31,argo_argo,ot,czhai
3030,9/1/2015 11:31,gfdl_esm2g,pr,czhai
3031,9/1/2015 11:32,gfdl_esm2g,pr,lei
3031,9/1/2015 11:32,gfdl_esm2g,ta,lei
3032,9/1/2015 11:33,argo_argo,ot,lei
3032,9/1/2015 11:33,gfdl_esm2g,pr,lei
3033,9/1/2015 11:33,GFDL_ESM2G,ta,lei
3034,9/1/2015 11:36,GFDL_ESM2G,ta,lei
3035,9/1/2015 11:37,ARGO_ARGO,ot,lei
3036,9/1/2015 11:37,ARGO_ARGO,ot,lei
3037,9/1/2015 11:42,argo_argo,ot,lei
3037,9/1/2015 11:42,gfdl_esm2g,pr,lei
3038,9/1/2015 11:45,ARGO_ARGO,os,lei
3039,9/1/2015 11:49,ARGO_ARGO,os,lei
3040,9/1/2015 11:49,ARGO_ARGO,ot,lei
3041,9/1/2015 11:57,argo_argo,ot,lei
3041,9/1/2015 11:57,gfdl_esm2g,pr,lei
3042,9/1/2015 12:00,argo_argo,ot,lei
3042,9/1/2015 12:00,gfdl_esm2g,pr,lei
3043,9/1/2015 12:02,argo_argo,ot,lei
3043,9/1/2015 12:02,gfdl_esm2g,pr,lei
3044,9/1/2015 12:04,argo_argo,ot,lei
3044,9/1/2015 12:04,gfdl_esm2g,rlut,lei
3044,9/1/2015 12:04,gfdl_esm2g,tos,lei
3045,9/1/2015 12:05,argo_argo,ot,lei
3045,9/1/2015 12:05,gfdl_esm2g,rlut,lei
3045,9/1/2015 12:05,nasa_modis,clt,lei
3046,9/1/2015 12:09,argo_argo,ot,lei
3046,9/1/2015 12:09,gfdl_esm2g,rlut,lei
3046,9/1/2015 12:09,nasa_modis,clt,lei
3047,9/1/2015 12:09,gfdl_esm2g,rlus,lei
3047,9/1/2015 12:09,giss_e2-h,ts,lei
3048,9/1/2015 12:09,gfdl_esm2g,rlus,lei
3048,9/1/2015 12:09,giss_e2-h,cli,lei
3049,9/1/2015 12:12,argo_argo,ot,lei
3049,9/1/2015 12:12,gfdl_esm2g,pr,lei
3050,9/1/2015 12:13,argo_argo,ot,lei
3050,9/1/2015 12:13,gfdl_esm2g,pr,lei
3051,9/1/2015 12:14,gfdl_esm2g,ts,lei
3051,9/1/2015 12:14,miroc_miroc5,rlds,lei
3051,9/1/2015 12:14,nasa_gpcp,pr,lei
3052,9/1/2015 12:14,gfdl_esm2g,ts,lei
