User,Dataset Name,Num_Times_Used
czhai,interim Relative Humidity,2
czhai,AIRS Near-Surface Air Temperature,1
czhai,CERES Surface Upwelling Longwave Radiation,1
czhai,ESM2G Relative Humidity,3
czhai,interim Eastward Near-Surface Wind,1
czhai,AMSRE Sea Surface Temperature,2
czhai,CAM5 Cloud Ice Water Content,2
czhai,ESM2G Total Cloud Fraction,2
czhai,ESM2G Precipitation Flux,5
czhai,CAM5 Precipitation Flux,1
lei,ESM2G Precipitation Flux,40
admin,ESM2G Precipitation Flux,40
admin,ESM2G Total Cloud Fraction,14
admin,ESM2G Surface Temperature,2
admin,ESM2G Eastward Near-Surface Wind,1
admin,ESM2G Air Temperature,2
lei,MLS Air Temperature,13
lei,MLS Specific Humidity,2
lei,ARGO Ocean Temperature,38
lei,ESM2G Near-Surface Wind Speed,1
lei,ARGO Ocean Salinity,4
lei,CM3 Precipitation Flux,1
lei,ESM2G Total Cloud Fraction,7
btang,ESM2G Precipitation Flux,26
btang,ESM2G Surface Temperature,2
btang,MLS Air Temperature,1
btang,CANAM4 Precipitation Flux,1
btang,E2-H Precipitation Flux,3
btang,E2-R Precipitation Flux,2
btang,interim Total Cloud Fraction,1
btang,ESM2G Total Cloud Fraction,5
admin,E2-H Precipitation Flux,1
admin,E2-H Total Cloud Fraction,1
czhai,ESM2G Surface Temperature,1
czhai,HadGEM2-ES Surface Temperature,1
czhai,ESM2G Eastward Near-Surface Wind,1
czhai,ESM2G Northward Near-Surface Wind,1
lei,E2-R Precipitation Flux,1
lei,ESM2G Air Temperature,19
czhai,ESM2G Specific Humidity,2
czhai,ESM2G Air Temperature,2
lei,CANAM4 Air Temperature,1
czhai,NORESM Relative Humidity,3
czhai,NORESM Specific Humidity,3
czhai,NORESM Air Temperature,3
lei,ESM2G Surface Downwelling Longwave Radiation,1
lei,ESM2G Surface Temperature,9
lei,E2-H Sea Surface Temperature,2
lei,ESM2G Sea Surface Temperature,3
lei,ESM2G Vertical Wind Velocity,1
czhai,ARGO Ocean Temperature,1
lei,ESM2G TOA Outgoing Longwave Radiation,3
lei,MODIS Total Cloud Fraction,2
lei,ESM2G Surface Upwelling Longwave Radiation,2
lei,E2-H Surface Temperature,1
lei,E2-H Cloud Ice Water Content,1
lei,MIROC5 Surface Downwelling Longwave Radiation,1
lei,GPCP Precipitation Flux,2
lei,MIROC5 Relative Humidity,1
lei,ESM2G Cloud Ice Water Content,1
btang,ARGO Ocean Temperature,6
lei,E2-H Air Temperature,2
btang,AVISO Sea Surface Height,1
jteixeira,ESM2G Precipitation Flux,6
jteixeira,ESM2G Air Temperature,2
jteixeira,ARGO Ocean Temperature,1
jteixeira,ESM2G Sea Surface Temperature,3
jteixeira,ESM2G Total Cloud Fraction,13
jteixeira,ESM2G Near-Surface Wind Speed,6
jteixeira,ESM2G Surface Temperature,7
jteixeira,ESM2G Northward Near-Surface Wind,1
jteixeira,ESM2G Eastward Near-Surface Wind,1
admin,ESM2G Near-Surface Wind Speed,2
admin,ESM2G Sea Surface Temperature,4
btang,ESM2G Air Temperature,1
jteixeira,ESM2G Vertical Wind Velocity,4
btang,ESM2G Eastward Near-Surface Wind,2
btang,ESM2G Sea Surface Temperature,4
btang,ESM2G Near-Surface Wind Speed,7
jteixeira,MODIS Total Cloud Fraction,3
jteixeira,TRMM Precipitation Flux,2
fcannon,ESM2G Precipitation Flux,15
fcannon,CAM5 Precipitation Flux,3
fcannon,GRACE Equivalent Water Height Over Land,2
kwillmot,TRMM Precipitation Flux,41
fcannon,MODIS Total Cloud Fraction,2
kwillmot,GPCP Precipitation Flux,5
btang,ESM2G Northward Near-Surface Wind,3
nkille,GRACE Equivalent Water Height Over Land,30
kwillmot,MODIS Leaf Area Index,68
nkille,CAM5 Total Cloud Fraction,1
nkille,MODIS Leaf Area Index,42
